Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Middeltemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Oslo - Kjelsås;SN18440;01.05.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;02.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.05.2015;7,5;-;-;-;-
Oslo - Kjelsås;SN18440;06.05.2015;16,5;-;-;-;-
Oslo - Kjelsås;SN18440;07.05.2015;5,6;-;-;-;-
Oslo - Kjelsås;SN18440;08.05.2015;3,9;-;-;-;-
Oslo - Kjelsås;SN18440;09.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.05.2015;19,2;-;-;-;-
Oslo - Kjelsås;SN18440;11.05.2015;1;-;-;-;-
Oslo - Kjelsås;SN18440;12.05.2015;5;-;-;-;-
Oslo - Kjelsås;SN18440;13.05.2015;3,5;-;-;-;-
Oslo - Kjelsås;SN18440;14.05.2015;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;15.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;16.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.05.2015;14,9;-;-;-;-
Oslo - Kjelsås;SN18440;18.05.2015;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;19.05.2015;1,7;-;-;-;-
Oslo - Kjelsås;SN18440;20.05.2015;7,1;-;-;-;-
Oslo - Kjelsås;SN18440;21.05.2015;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;22.05.2015;0,7;-;-;-;-
Oslo - Kjelsås;SN18440;23.05.2015;0,5;-;-;-;-
Oslo - Kjelsås;SN18440;24.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;25.05.2015;11,3;-;-;-;-
Oslo - Kjelsås;SN18440;26.05.2015;1,5;-;-;-;-
Oslo - Kjelsås;SN18440;27.05.2015;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;28.05.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.05.2015;7,5;-;-;-;-
Oslo - Kjelsås;SN18440;30.05.2015;10;-;-;-;-
Oslo - Kjelsås;SN18440;31.05.2015;5,1;-;-;-;-
Oslo - Kjelsås;SN18440;01.06.2015;5,4;-;-;-;-
Oslo - Kjelsås;SN18440;02.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.06.2015;14,5;-;-;-;-
Oslo - Kjelsås;SN18440;04.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.06.2015;6,6;-;-;-;-
Oslo - Kjelsås;SN18440;07.06.2015;11,9;-;-;-;-
Oslo - Kjelsås;SN18440;08.06.2015;0,1;-;-;-;-
Oslo - Kjelsås;SN18440;09.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;10.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;14.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;15.06.2015;1,3;-;-;-;-
Oslo - Kjelsås;SN18440;16.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;17.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.06.2015;7;-;-;-;-
Oslo - Kjelsås;SN18440;19.06.2015;2,8;-;-;-;-
Oslo - Kjelsås;SN18440;20.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;22.06.2015;2,8;-;-;-;-
Oslo - Kjelsås;SN18440;23.06.2015;2,4;-;-;-;-
Oslo - Kjelsås;SN18440;24.06.2015;3,9;-;-;-;-
Oslo - Kjelsås;SN18440;25.06.2015;12,9;-;-;-;-
Oslo - Kjelsås;SN18440;26.06.2015;1,1;-;-;-;-
Oslo - Kjelsås;SN18440;27.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;28.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;29.06.2015;0,4;-;-;-;-
Oslo - Kjelsås;SN18440;30.06.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;01.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;02.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;03.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;04.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;05.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;06.07.2015;9,9;-;-;-;-
Oslo - Kjelsås;SN18440;07.07.2015;3,2;-;-;-;-
Oslo - Kjelsås;SN18440;08.07.2015;3;-;-;-;-
Oslo - Kjelsås;SN18440;09.07.2015;16,9;-;-;-;-
Oslo - Kjelsås;SN18440;10.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;11.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;12.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;13.07.2015;0,8;-;-;-;-
Oslo - Kjelsås;SN18440;14.07.2015;2,6;-;-;-;-
Oslo - Kjelsås;SN18440;15.07.2015;0,2;-;-;-;-
Oslo - Kjelsås;SN18440;16.07.2015;9,7;-;-;-;-
Oslo - Kjelsås;SN18440;17.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;18.07.2015;5,8;-;-;-;-
Oslo - Kjelsås;SN18440;19.07.2015;0,7;-;-;-;-
Oslo - Kjelsås;SN18440;20.07.2015;0;-;-;-;-
Oslo - Kjelsås;SN18440;21.07.2015;0,3;-;-;-;-
