"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"02.01.2021 14:45 - 02.01.2021 15:00","0","701"
"02.01.2021 15:00 - 02.01.2021 15:15","0","702"
"02.01.2021 15:15 - 02.01.2021 15:30","0","702"
"02.01.2021 15:30 - 02.01.2021 15:45","0","701"
"02.01.2021 15:45 - 02.01.2021 16:00","0","702"
"02.01.2021 16:00 - 02.01.2021 16:15","0","702"
"02.01.2021 16:15 - 02.01.2021 16:30","0","701"
"02.01.2021 16:30 - 02.01.2021 16:45","0","701"
"02.01.2021 16:45 - 02.01.2021 17:00","0","701"
"02.01.2021 17:00 - 02.01.2021 17:15","0","702"
"02.01.2021 17:15 - 02.01.2021 17:30","0","702"
"02.01.2021 17:30 - 02.01.2021 17:45","0","701"
"02.01.2021 17:45 - 02.01.2021 18:00","0","701"
"02.01.2021 18:00 - 02.01.2021 18:15","0","701"
"02.01.2021 18:15 - 02.01.2021 18:30","0","702"
"02.01.2021 18:30 - 02.01.2021 18:45","0","701"
"02.01.2021 18:45 - 02.01.2021 19:00","0","701"
"02.01.2021 19:00 - 02.01.2021 19:15","0","702"
"02.01.2021 19:15 - 02.01.2021 19:30","0","701"
"02.01.2021 19:30 - 02.01.2021 19:45","0","701"
"02.01.2021 19:45 - 02.01.2021 20:00","0","701"
"02.01.2021 20:00 - 02.01.2021 20:15","0","701"
"02.01.2021 20:15 - 02.01.2021 20:30","0","701"
"02.01.2021 20:30 - 02.01.2021 20:45","0","701"
"02.01.2021 20:45 - 02.01.2021 21:00","0","701"
"02.01.2021 21:00 - 02.01.2021 21:15","0","701"
"02.01.2021 21:15 - 02.01.2021 21:30","0","701"
"02.01.2021 21:30 - 02.01.2021 21:45","0","701"
"02.01.2021 21:45 - 02.01.2021 22:00","0","701"
"02.01.2021 22:00 - 02.01.2021 22:15","0","701"
"02.01.2021 22:15 - 02.01.2021 22:30","0","701"
"02.01.2021 22:30 - 02.01.2021 22:45","0","701"
"02.01.2021 22:45 - 02.01.2021 23:00","0","701"
"02.01.2021 23:00 - 02.01.2021 23:15","0","701"
"02.01.2021 23:15 - 02.01.2021 23:30","0","702"
"02.01.2021 23:30 - 02.01.2021 23:45","0","701"
"02.01.2021 23:45 - 03.01.2021 00:00","0","694"
"03.01.2021 00:00 - 03.01.2021 00:15","0","661"
"03.01.2021 00:15 - 03.01.2021 00:30","0","650"
"03.01.2021 00:30 - 03.01.2021 00:45","0","650"
