"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","994","","1246","18073","n/e","n/e","0","34","n/e","26","n/e","524"
"Norway (NO)","03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1167","","1255","18730","n/e","n/e","0","30","n/e","23","n/e","561"
"Norway (NO)","03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1246","","1249","19429","n/e","n/e","0","32","n/e","23","n/e","596"
"Norway (NO)","03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1104","","1247","19955","n/e","n/e","0","31","n/e","23","n/e","585"
"Norway (NO)","03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1134","","1250","20130","n/e","n/e","0","31","n/e","22","n/e","542"
"Norway (NO)","03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","926","","1253","19932","n/e","n/e","0","30","n/e","26","n/e","545"
"Norway (NO)","03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","888","","1255","19643","n/e","n/e","0","28","n/e","24","n/e","512"
"Norway (NO)","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","906","","1254","19877","n/e","n/e","0","35","n/e","23","n/e","435"
"Norway (NO)","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1058","","1242","20567","n/e","n/e","0","28","n/e","22","n/e","407"
"Norway (NO)","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1276","","1220","21581","n/e","n/e","0","38","n/e","26","n/e","397"
