"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","696","2076","n/e","n/e","n/e","n/e","n/e","6","n/e","75"
"BZN|NO1","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","692","2052","n/e","n/e","n/e","n/e","n/e","6","n/e","80"
"BZN|NO1","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","692","2005","n/e","n/e","n/e","n/e","n/e","6","n/e","77"
"BZN|NO1","03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","689","1912","n/e","n/e","n/e","n/e","n/e","6","n/e","93"
"BZN|NO1","03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","689","1815","n/e","n/e","n/e","n/e","n/e","6","n/e","80"
"BZN|NO1","04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","685","1653","n/e","n/e","n/e","n/e","n/e","6","n/e","94"
"BZN|NO1","04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","684","1660","n/e","n/e","n/e","n/e","n/e","6","n/e","94"
"BZN|NO1","04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","682","1634","n/e","n/e","n/e","n/e","n/e","6","n/e","120"
"BZN|NO1","04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","680","1637","n/e","n/e","n/e","n/e","n/e","6","n/e","129"
"BZN|NO1","04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","680","1668","n/e","n/e","n/e","n/e","n/e","6","n/e","123"
"BZN|NO1","04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","678","1698","n/e","n/e","n/e","n/e","n/e","6","n/e","127"
"BZN|NO1","04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","676","1956","n/e","n/e","n/e","n/e","n/e","6","n/e","123"
"BZN|NO1","04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","675","2143","n/e","n/e","n/e","n/e","n/e","6","n/e","107"
"BZN|NO1","04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","680","2166","n/e","n/e","n/e","n/e","n/e","6","n/e","115"
"BZN|NO1","04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","2150","n/e","n/e","n/e","n/e","n/e","6","n/e","110"
"BZN|NO1","04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","679","2136","n/e","n/e","n/e","n/e","n/e","6","n/e","116"
"BZN|NO1","04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","679","2125","n/e","n/e","n/e","n/e","n/e","6","n/e","109"
"BZN|NO1","04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","679","2129","n/e","n/e","n/e","n/e","n/e","6","n/e","106"
"BZN|NO1","04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","677","2127","n/e","n/e","n/e","n/e","n/e","6","n/e","106"
"BZN|NO1","04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","682","2133","n/e","n/e","n/e","n/e","n/e","6","n/e","101"
"BZN|NO1","04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","684","2136","n/e","n/e","n/e","n/e","n/e","4","n/e","104"
"BZN|NO1","04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","2136","n/e","n/e","n/e","n/e","n/e","4","n/e","105"
"BZN|NO1","04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","2133","n/e","n/e","n/e","n/e","n/e","4","n/e","92"
"BZN|NO1","04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","683","2072","n/e","n/e","n/e","n/e","n/e","4","n/e","89"
"BZN|NO1","04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","678","2026","n/e","n/e","n/e","n/e","n/e","4","n/e","86"
"BZN|NO1","04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","677","2001","n/e","n/e","n/e","n/e","n/e","4","n/e","81"
"BZN|NO1","04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","678","1996","n/e","n/e","n/e","n/e","n/e","4","n/e","60"
"BZN|NO1","04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","675","1946","n/e","n/e","n/e","n/e","n/e","4","n/e","49"
"BZN|NO1","04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","676","1755","n/e","n/e","n/e","n/e","n/e","4","n/e","45"
"BZN|NO1","05.01.2021 00:00 - 05.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","670","1599","n/e","n/e","n/e","n/e","n/e","4","n/e","44"
"BZN|NO1","05.01.2021 01:00 - 05.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","665","1629","n/e","n/e","n/e","n/e","n/e","4","n/e","38"
"BZN|NO1","05.01.2021 02:00 - 05.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","662","1633","n/e","n/e","n/e","n/e","n/e","4","n/e","27"
"BZN|NO1","05.01.2021 03:00 - 05.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","661","1634","n/e","n/e","n/e","n/e","n/e","4","n/e","20"
"BZN|NO1","05.01.2021 04:00 - 05.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","660","1639","n/e","n/e","n/e","n/e","n/e","4","n/e","14"
"BZN|NO1","05.01.2021 05:00 - 05.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","660","1724","n/e","n/e","n/e","n/e","n/e","4","n/e","13"
