"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","800","n/e","n/e","288","588","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","111","1285","1790"
"Denmark (DK)","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","708","n/e","n/e","267","519","43","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","112","1399","2040"
"Denmark (DK)","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","562","n/e","n/e","209","498","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","115","1590","2299"
"Denmark (DK)","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","533","n/e","n/e","205","379","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","1730","2568"
"Denmark (DK)","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","327","n/e","n/e","198","345","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","1851","2836"
"Denmark (DK)","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","343","n/e","n/e","181","326","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","116","1937","3035"
"Denmark (DK)","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","332","n/e","n/e","177","322","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","115","1890","3160"
"Denmark (DK)","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","426","n/e","n/e","179","323","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","112","2010","3232"
"Denmark (DK)","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","506","n/e","n/e","207","348","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","115","2084","3221"
"Denmark (DK)","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","593","n/e","n/e","222","391","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","116","2113","3090"
"Denmark (DK)","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","745","n/e","n/e","249","441","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","117","2099","2911"
"Denmark (DK)","04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","648","n/e","n/e","249","432","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","116","2027","2902"
"Denmark (DK)","04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","644","n/e","n/e","266","441","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","116","2021","3070"
"Denmark (DK)","04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","659","n/e","n/e","245","432","45","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","112","2083","3118"
"Denmark (DK)","04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","515","n/e","n/e","244","440","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","112","2078","3036"
"Denmark (DK)","04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","498","n/e","n/e","271","443","47","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","111","2069","3054"
"Denmark (DK)","04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","481","n/e","n/e","235","440","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","111","2000","3080"
"Denmark (DK)","04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","483","n/e","n/e","239","443","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","131","1904","3203"
"Denmark (DK)","04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST)","496","n/e","n/e","220","440","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","135","1910","3277"
"Denmark (DK)","04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST)","534","n/e","n/e","242","406","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","133","1970","3403"
"Denmark (DK)","04.01.2023 18:00 - 04.01.2023 19:00 (CET/CEST)","506","n/e","n/e","236","397","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","131","1947","3541"
"Denmark (DK)","04.01.2023 19:00 - 04.01.2023 20:00 (CET/CEST)","489","n/e","n/e","217","384","45","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","130","2003","3620"
"Denmark (DK)","04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST)","456","n/e","n/e","225","374","46","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","128","1974","3698"
"Denmark (DK)","04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST)","453","n/e","n/e","200","338","45","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","122","2065","3562"
"Denmark (DK)","04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST)","399","n/e","n/e","190","328","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","121","2021","3425"
"Denmark (DK)","04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST)","322","n/e","n/e","179","322","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","119","2025","3203"
"Denmark (DK)","05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST)","351","n/e","n/e","148","265","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","119","1988","3037"
"Denmark (DK)","05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST)","346","n/e","n/e","128","201","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","117","2031","2936"
"Denmark (DK)","05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST)","328","n/e","n/e","130","197","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","116","1999","2859"
"Denmark (DK)","05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST)","333","n/e","n/e","133","201","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","116","1941","2806"
"Denmark (DK)","05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST)","478","n/e","n/e","127","207","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","116","2046","2681"
"Denmark (DK)","05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST)","531","n/e","n/e","147","228","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","117","2040","2688"
"Denmark (DK)","05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST)","573","n/e","n/e","188","193","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","122","1912","2787"
"Denmark (DK)","05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST)","661","n/e","n/e","260","280","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","126","1911","2531"
"Denmark (DK)","05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST)","795","n/e","n/e","386","304","42","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","129","1724","2046"
"Denmark (DK)","05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST)","861","n/e","n/e","460","446","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","126","1621","1689"
